Adalbert	15
Adam	47837
Adnan	20
Adolf	2632
Adrian	1549
Adrián	199
Adrien	88
Ahmad	33
Ahmed	69
Aladar	50
Aladár	169
Alain	34
Alan	1235
Albert	2249
Alberto	46
Albin	31
Albín	331
Albrecht	8
Aldo	17
Alekos	12
Aleksandar	65
Alen	40
Alessandro	84
Aleš	33074
Alex	3397
Alexander	2987
Alexandr	6609
Alexandros	72
Alexej	813
Alexis	54
Alexius	14
Alfons	234
Alfonz	32
Alfred	681
Alfréd	493
Ali	104
Aljoša	7
Allan	73
Alois	10594
Aloiz	6
Alojz	352
Ambroš	0
Amos	35
Anastasios	15
Anatol	72
Anatolij	152
Andělín	51
André	209
Andreas	595
Andrei	30
Andrej	2720
Andrew	77
Andrzej	205
Angel	51
Angelo	50
Anselm	4
Anthony	118
Anton	1626
Antonin	17
Antonín	53794
Antonio	269
Aram	40
Ariel	18
Armand	19
Armando	35
Armin	52
Armín	9
Arne	41
Arno	38
Arnold	158
Arnošt	3793
Áron	37
Arpad	9
Arpád	300
Árpád	14
Arthur	84
Artur	779
Artuš	47
Asen	12
Atanas	30
Atila	45
Attila	134
August	29
Augustin	996
Augustín	103
Augustýn	23
Aurel	20
Baltazar	19
Baltazár	9
Barnabáš	169
Bartolomej	190
Bartoloměj	808
Bedrich	5
Bedřich	5771
Bela	53
Béla	14
Belo	41
Benedikt	481
Benjamin	799
Benjamín	341
Benno	30
Beno	68
Bernard	460
Bernd	9
Bernhard	39
Berthold	31
Bertold	9
Bivoj	17
Blahomil	22
Blahomír	41
Blahoslav	508
Blažej	245
Bogdan	236
Bohdan	1418
Bohouš	11
Bohumil	17527
Bohumír	4098
Bohuslav	11868
Bohuš	196
Bojan	16
Bojislav	8
Boleslav	671
Bonifác	65
Borek	136
Boris	2191
Borislav	18
Bořek	669
Bořík	21
Bořislav	15
Bořivoj	1634
Božej	9
Božetěch	184
Božidar	15
Branislav	229
Branko	51
Brian	207
Bronislav	3827
Bruno	1182
Břetislav	5328
Carlos	63
Celestin	17
Celestýn	13
Csaba	30
Ctibor	903
Ctimír	2
Ctirad	680
Ctislav	16
Cyprián	10
Cyril	1279
Cyrill	11
Czeslaw	24
Čeněk	1547
Česlav	291
Čestmír	2562
Dag	30
Dalibor	8108
Dalimil	291
Damian	492
Damián	1091
Damir	41
Dan	2478
Daneš	53
Daniel	60935
Daniele	57
Danilo	37
Danny	209
Darek	337
Dario	44
Darius	57
Dariusz	56
Darko	23
David	101311
Dávid	163
Dejan	48
Demeter	25
Demetr	5
Denis	6745
Dennis	329
Denny	122
Desider	36
Desiderius	9
Dětmar	16
Dětřich	10
Dezider	492
Dezidér	8
Dieter	98
Dietmar	42
Dimitr	55
Dimitrij	166
Dimitrios	60
Dimitris	47
Dino	60
Dionýz	39
Ditmar	18
Dmitrij	157
Dobromil	116
Dobromír	14
Dobroslav	451
Dominic	90
Dominik	33322
Dominík	6
Dorian	91
Dragan	47
Dragutin	10
Drahomil	12
Drahomír	2027
Drahoslav	1015
Drahoš	78
Dušan	14972
Eberhard	9
Edgar	94
Edmond	24
Edmund	180
Eduard	8708
Edvard	506
Edvin	50
Edvín	23
Edward	91
Edwin	37
Egon	159
Elemér	10
Elemír	155
Eliaš	5
Eliáš	1336
Elmar	12
Eman	10
Emanuel	1218
Emerich	119
Emil	7650
Emilian	34
Emilián	39
Engelbert	27
Enrico	110
Erhard	106
Erhart	4
Eric	142
Erich	1130
Erik	5656
Ernest	623
Ernst	16
Ervin	166
Ervín	827
Erwin	37
Eugen	371
Eugeniusz	14
Eustach	11
Evald	114
Evangelos	15
Evžen	3112
Ewald	49
Fabian	176
Fabián	264
Fabio	74
Fedor	117
Felix	520
Ferdinand	1240
Filip	50464
Florian	130
Florián	163
Fotis	14
Francesco	77
Frank	71
František	122910
Frantíšek	4
Franz	23
Frederik	104
Fridolín	24
Fridrich	44
Gábor	22
Gabriel	1861
Gaston	8
Gašpar	26
Gejza	681
Gennadij	38
Georg	52
George	121
Georgi	100
Georgij	44
Georgios	118
Georgis	24
Gerald	39
Gerard	20
Gerd	32
Gerhard	739
Gerhart	21
Gerold	11
Gert	19
Géza	21
Gilbert	17
Ginter	11
Giorgio	28
Giovanni	56
Gisbert	9
Goče	10
Gottfried	9
Gregor	76
Grigorij	39
Grzegorz	24
Guido	9
Gustav	1654
Gustáv	58
Hai	29
Hans	55
Hanuš	377
Harald	68
Harold	12
Harry	85
Hassan	36
Havel	27
Heinrich	11
Heinz	168
Helmut	433
Helmuth	26
Henrich	69
Henrik	20
Henry	45
Henryk	116
Herbert	642
Heribert	22
Herman	48
Hermann	36
Herwig	8
Heřman	249
Horst	409
Horymír	160
Hubert	1260
Hugo	1038
Hung	36
Hvězdoslav	24
Hynek	4661
Charalambos	15
Christian	584
Christián	22
Christo	46
Christoph	43
Christopher	174
Christos	89
Chrudoš	22
Ian	54
Ibrahim	45
Ignac	9
Ignác	271
Igor	3981
Ilias	33
Ilija	29
Ilja	598
Iljič	20
Ilko	10
Imre	14
Imrich	1004
Innocenc	9
Inocenc	34
Ioannis	28
Iren	9
Isidor	23
István	24
Ivan	22942
Ivar	43
Ivo	16587
Ivor	21
Ivoš	146
Izidor	19
Jacek	35
Jacob	115
Jáchym	4346
Jakob	79
Jakub	108013
James	74
Jan	293938
Ján	8532
Janis	170
Janko	25
Jannis	44
János	10
Janusz	104
Januš	45
Jarko	4
Jarmil	494
Jarolím	119
Jaromil	28
Jaromír	30984
Jaroslav	172785
Jaroš	10
Jasoň	17
Jean	21
Jeronym	25
Jeroným	268
Jerzy	56
Jevgenij	68
Jiljí	155
Jindra	3327
Jindřich	26230
Jinřich	1
Jirka	29
Jiři	5
Jiří	296090
Jiřík	55
Joachim	60
Joel	62
Johan	151
Johann	24
John	112
Jonáš	5245
Jonatan	138
Jonathan	103
Jordan	60
Jordán	12
Jorge	36
Jorgos	31
José	35
Josef	211317
Joseph	78
Jovan	31
Jozef	8526
Józef	27
Jožka	12
Juan	37
Julian	123
Julián	90
Julius	2014
Július	784
Juraj	2242
Jurij	237
Justin	285
Justín	17
Kajetán	78
Kalman	16
Kamal	25
Kamil	14052
Karel	104072
Karim	110
Karlheinz	14
Karol	1244
Kašpar	29
Kazimierz	21
Kazimír	213
Kevin	1412
Kilián	119
Kim	96
Kiril	25
Klaus	123
Klement	195
Kliment	36
Kolman	14
Koloman	465
Konrad	27
Konrád	97
Konstantin	230
Konstantinos	46
Konštantin	6
Konštantín	11
Kornel	51
Kostas	77
Krasoslav	5
Kristian	830
Kristián	3355
Krištof	67
Krystian	55
Kryštof	11696
Kryštov	0
Krzysztof	50
Kurt	378
Kvetoslav	12
Květoslav	2563
Květoš	8
Kvido	186
Ladislav	69797
Lambert	56
Leander	10
Lech	50
Leo	1353
Leon	629
Leonard	275
Leonardo	103
Leonhard	29
Leonid	57
Leontin	18
Leopold	1690
Leoš	5796
Leszek	77
Lešek	126
Lev	125
Lexa	15
Libor	30464
Liboslav	68
Liboš	9
Linhard	5
Linhart	15
Ljuben	13
Ljubomír	18
Ljubov	148
Long	28
Longin	15
Lothar	63
Lubislav	8
Lubomil	47
Lubomír	24607
Lubor	1359
Luboslav	57
Luboš	21994
Lucian	25
Lucián	75
Luciano	43
Lucien	26
Luděk	15104
Ludevit	13
Ludevít	129
Ludomír	19
Ludoslav	6
Ludovit	27
Ludovít	257
Ludvik	24
Ludvík	7219
Luis	35
Lukáč	6
Lukas	479
Lukasz	3
Lukaš	2
Lukáš	102982
Lumír	3500
Maik	55
Manfred	315
Manfréd	34
Manuel	62
Marcel	8695
Marcin	20
Marco	377
Marek	63088
Marian	5414
Marián	2543
Marijan	15
Marin	30
Mario	1043
Mário	457
Marius	36
Mariusz	55
Mark	199
Marko	365
Markos	25
Markus	172
Maroš	105
Martin	188380
Martín	7
Matej	252
Matěj	38519
Mateusz	72
Mathias	486
Matouš	5362
Matteo	270
Matthias	186
Matuš	16
Matúš	214
Matyáš	22954
Max	1978
Maxim	1856
Maximilian	178
Maximilián	56
Maxmilian	423
Maxmilián	2268
Mečislav	60
Měčislav	17
Medard	36
Melichar	64
Methoděj	9
Metod	22
Metoděj	575
Mieczyslaw	6
Miguel	50
Michael	12927
Michail	138
Michal	123324
Michalis	52
Michel	63
Michele	85
Mike	110
Mikoláš	399
Mikulaš	6
Mikuláš	6008
Milan	107458
Milán	545
Milič	42
Milíč	10
Milivoj	16
Milomír	7
Miloň	208
Miloslav	32769
Miloš	25509
Milota	58
Milouš	232
Minh	29
Miran	16
Mirek	435
Mírek	8
Mirko	397
Miron	40
Miroslav	147753
Míroslav	13
Miroš	15
Míťa	8
Mitko	14
Mladen	21
Mohamad	19
Mohamed	103
Mojmír	2813
Mořic	9
Mstislav	15
Myron	14
Nabil	23
Narcis	37
Něhoslav	8
Neklan	33
Nick	160
Nicol	2919
Nicolas	2126
Nicholas	152
Nikodém	30
Nikola	37996
Nikolaj	333
Nikolaos	77
Nikolas	3702
Nikos	111
Norbert	1114
Norman	30
Odon	28
Oktavián	9
Olaf	21
Oldrich	11
Oldřich	24048
Oleg	415
Oliver	4285
Olivier	36
Omar	132
Ondrej	1376
Ondřej	76225
Oskar	1357
Oskár	28
Osvald	173
Oswald	32
Ota	2155
Otakar	6253
Otmar	400
Oto	1982
Otokar	159
Otomar	264
Oton	10
Otta	410
Ottakar	6
Otto	3627
Ottokar	16
Ottomar	11
Panajotis	28
Paris	42
Patrick	565
Patrik	30682
Paul	140
Pavel	200997
Pavlos	24
Pavol	1836
Pawel	5
Pedro	33
Petar	58
Peter	4886
Petko	13
Petr	272135
Petros	54
Philip	182
Philipp	108
Philippe	41
Pierre	24
Piotr	45
Pravdomil	13
Pravomil	29
Pravoslav	212
Prokop	1414
Přemek	154
Přemysl	5248
Přibyslav	9
Quido	106
Radan	440
Radek	58589
Radim	20514
Radimír	93
Radislav	530
Radko	672
Radmil	95
Radomil	1301
Radomír	7363
Radoslav	2620
Radoš	48
Radouš	7
Radovan	5857
Radslav	17
Radúz	50
Radvan	54
Rafael	311
Raimund	120
Rainer	64
Rajmund	97
Rami	44
Ramon	43
Raoul	5
Rastislav	445
Ratibor	15
Ratislav	12
Raul	26
Raymond	26
Reiner	38
Reinhard	98
Reinhold	107
Renát	8
Renato	23
René	9352
Rene	37
Renné	14
Riad	18
Richard	20467
Risto	12
Ríša	6
Robert	22116
Róbert	681
Roberto	73
Robin	5793
Rodan	29
Roger	27
Roland	631
Rolando	14
Rolf	34
Roman	67754
Romeo	56
Romuald	33
Ronald	186
Ronny	24
Rostislav	16659
Ruben	78
Rudolf	23710
Rupert	23
Ruslan	83
Ryszard	71
Řehoř	39
Said	26
Salim	22
Sami	76
Samir	82
Samuel	8158
Saša	237
Sáša	89
Sebastian	4694
Sebastián	1814
Sebastien	439
Sébastien	79
Serafín	12
Sergej	400
Severin	28
Severín	9
Siegfried	67
Sigmund	6
Silvan	11
Silvester	57
Silvestr	393
Silvio	16
Simeon	80
Simon	1017
Sláva	52
Slávek	206
Slavibor	14
Slavko	49
Slavoj	281
Slavomil	277
Slavomír	2306
Soběslav	68
Son	36
Sotiris	9
Spiros	10
Stanislav	61889
Stanislaw	7
Statis	11
Stavros	24
Stefan	166
Stephan	24
Sterios	10
Steve	45
Steven	83
Stojan	20
Svatoboj	7
Svatobor	40
Svatomír	136
Svatopluk	3669
Svatoslav	661
Svatoš	21
Sven	80
Světoslav	8
Svetozar	10
Svetozár	14
Sylvestr	19
Šebestián	27
Šimon	17303
Štefan	9004
Štefán	22
Štepán	7
Štěpan	3
Štěpán	24148
Tadeáš	9039
Tadeusz	93
Tanasis	21
Taras	32
Teodor	1345
Teofil	40
Theobald	6
Theodor	843
Theofil	4
Thomas	618
Tibor	2600
Tichomír	14
Tim	180
Timon	122
Timotej	197
Timoteus	23
Timotheus	13
Timothy	113
Titus	8
Tobias	1911
Tobiáš	6617
Todor	35
Tom	501
Toman	8
Tomas	130
Tomás	12
Tomasz	162
Tomaš	14
Tomáš	181926
Tomislav	144
Tommy	81
Tony	149
Tuan	28
Udo	23
Urban	12
Vaclav	7
Václav	123927
Vadim	129
Valdemar	285
Valent	22
Valentin	314
Valentín	50
Valentýn	107
Valerian	20
Valerián	19
Valerij	119
Valter	327
Valtr	62
Vangelis	25
Vasil	742
Vasilij	54
Vasilios	10
Vasilis	43
Vasiž	0
Vavrinec	10
Vavřín	25
Vavřinec	197
Vazil	12
Věkoslav	18
Velen	18
Veleslav	26
Věnceslav	47
Vendel	8
Vendelin	6
Vendelín	418
Věnek	32
Věněk	14
Verner	115
Věroslav	591
Věslav	53
Victor	102
Vieroslav	5
Viktor	11982
Viktorin	11
Vilem	7
Vilém	6701
Viliam	1332
Vilibald	187
Vincenc	477
Vincent	1127
Vintíř	15
Vít	18444
Vitalij	166
Víťazoslav	8
Vítek	1940
Vítěslav	20
Vitězslav	24
Vítězslav	9275
Vitold	18
Vjačeslav	94
Vladan	983
Vladek	30
Vladimir	167
Vladimír	83762
Vladislav	12854
Vladivoj	45
Vladko	52
Vlado	17
Vlasta	41736
Vlastibor	37
Vlastík	8
Vlastimil	26014
Vlastimír	289
Vlastislav	2961
Vlastmil	1
Vnislav	32
Vojen	24
Vojmír	28
Vojslav	10
Vojtech	572
Vojtěch	52802
Volfgang	21
Vratislav	5584
Vsevolod	8
Waldemar	145
Walter	680
Waltr	7
Werner	348
Wieslaw	20
Wilfried	35
Wilhelm	30
Wiliam	11
Wilibald	15
Willi	45
William	378
Willibald	52
Willy	28
Winfried	9
Witold	15
Wladyslaw	12
Wojciech	21
Wolfgang	156
Záboj	22
Záviš	40
Zbigněv	14
Zbigniev	6
Zbigniew	162
Zbislav	10
Zbygněv	7
Zbygniew	12
Zbyhněv	113
Zbyněk	12802
Zbyňek	0
Zbyslav	36
Zbyszek	35
Zdenek	2685
Zdeněk	126094
Zdeňek	27
Zděnek	550
Zděněk	5
Zdenko	500
Zdeno	62
Zdirad	13
Zdislav	260
Zdravko	17
Zeno	28
Zenon	32
Zigmund	9
Zikmund	72
Zlatko	79
Zlatomír	17
Zoltan	23
Zoltán	771
Zoran	63
Zsolt	26
Zvonimír	19
Zygmunt	7
Žigmund	11
Živan	18
Žubomír	0
Žubor	0
Žuboslav	0
Žuboš	0
Žubov	0
Žudevit	0
Žudevít	0
Žudovit	0
Žudovít	0
Abigail	164
Ada	161
Adela	439
Adéla	45156
Adelaida	20
Adelajda	5
Adelhaida	9
Adelheid	31
Adelheida	30
Adina	655
Adolfa	65
Adolfina	47
Adolfína	27
Adriana	7460
Adriána	151
Adriena	196
Adrienna	10
Agata	269
Agáta	3406
Aglaja	6
Agnes	164
Ágnes	27
Agnesa	462
Agneša	95
Agnieszka	53
Aida	52
Aja	44
Alberta	16
Albertina	24
Albina	54
Albína	483
Aleksandra	94
Alena	105093
Alenka	2305
Alessandra	37
Aleška	17
Alexa	43
Alexandra	8126
Alfreda	10
Alfréda	7
Alica	193
Alice	9126
Alicja	67
Alina	199
Alla	182
Alma	123
Aloisia	13
Aloisie	1079
Alojzia	57
Alžbeta	1310
Alžběta	13333
Amalia	79
Amália	136
Amalie	307
Amálie	6320
Amanda	152
Ana	112
Anastasia	134
Anastasie	131
Anastásie	11
Anastazia	14
Anastázia	141
Anastazie	484
Anastázie	1145
Andela	8
Anděla	3086
Andělína	13
Andělka	13
Andrea	41151
Aneška	2
Aneta	29840
Anetta	171
Anette	59
Anežka	19977
Angela	497
Angelika	832
Angelina	148
Anička	29
Aniela	27
Anika	190
Anikó	18
Anita	1863
Anitta	9
Anna	134819
Annaliesa	9
Annaliese	12
Annamária	18
Annamarie	92
Annastazie	4
Annastázie	6
Anne	49
Annelie	17
Annelies	123
Anneliesa	9
Anneliese	64
Annelise	3
Annemarie	336
Anneta	10
Annette	84
Annita	7
Anselma	14
Antonia	283
Antónia	157
Antonie	6198
Antonina	57
Antonína	109
Anuše	12
Anuška	11
Apolena	650
Apolonia	35
Apolónia	10
Apolonie	41
Arana	25
Aranka	382
Ariana	103
Arleta	59
Arlette	14
Arna	19
Arnošta	78
Arnoštka	331
Asta	3
Astrid	76
Astrida	12
Atina	14
Augusta	76
Augustina	95
Augustína	12
Aurelia	80
Aurélia	48
Aurelie	241
Aurélie	33
Babeta	112
Bára	3784
Barbara	2000
Barbora	57201
Barunka	25
Beata	1634
Beáta	3077
Beatrice	186
Beatrix	41
Beatriz	19
Bedřicha	12
Bedřiška	1381
Běla	1196
Bělina	2
Belinda	29
Bělinka	5
Běluše	55
Běluška	8
Benedikta	24
Berenika	896
Bernadeta	57
Bernadetta	17
Bernarda	44
Bernardeta	22
Bernardetta	6
Bernardina	56
Bernardína	60
Berta	755
Běta	49
Betty	28
Bětuška	27
Bianca	102
Bianka	152
Bibiana	217
Bibiána	54
Birgit	12
Blahomíra	13
Blahoslava	150
Blandina	7
Blanička	6
Blanka	31516
Blažeja	6
Blažejka	7
Blažena	6311
Blaženka	42
Bohdana	1872
Bohdanka	87
Bohumila	9133
Bohumíra	570
Bohuna	15
Bohunka	391
Bohuslava	4882
Bohuslávka	8
Bohuše	31
Bohuška	28
Bohuvěra	6
Bojana	14
Boleslava	44
Božena	39851
Boženka	25
Branislava	13
Brenda	58
Brigita	1401
Brigitta	155
Brigitte	31
Bronislava	3919
Brunhilda	59
Břetislava	60
Camilla	34
Carmen	192
Carola	14
Carolina	114
Caroline	222
Catherine	68
Cecilia	66
Cecília	110
Cecilie	587
Cecílie	127
Celestina	34
Celestína	6
Celestýna	39
Cindy	60
Clara	84
Claudia	406
Claudie	400
Colette	21
Cornelia	21
Cristina	82
Ctirada	12
Ctislava	5
Cyrila	31
Cyrilka	10
Cyrilla	8
Czeslawa	9
Čeňka	12
Česlava	33
Čestmíra	34
Dagmar	50646
Dagmara	178
Dája	6
Dajana	83
Dajána	10
Dalena	22
Dalibora	28
Dalila	46
Dalimila	67
Damaris	13
Daňa	23
Dáňa	7
Dana	50781
Danica	210
Daniela	26536
Daniella	37
Danielle	36
Danislava	13
Danka	309
Danuša	28
Danuše	15255
Danuška	1708
Danuta	457
Dara	51
Daria	379
Darie	49
Darija	19
Darina	4837
